"STUDENT_ID","FIRST_NAME","COURSE_ID","NO_OF_DAYS_OFF","EXAM_ID","MARKS"
720,"JACK",190,21,500,91
720,"JACK",193,21,500,91
720,"JACK",191,21,500,91
720,"JACK",190,21,520,97
720,"JACK",193,21,520,97
720,"JACK",191,21,520,97
720,"JACK",190,21,530,89
720,"JACK",193,21,530,89
720,"JACK",191,21,530,89
740,"RHONDA",195,12,560,69
740,"RHONDA",197,12,560,69
740,"RHONDA",199,12,560,69
740,"RHONDA",195,12,570,70
740,"RHONDA",197,12,570,70
740,"RHONDA",199,12,570,70
740,"RHONDA",195,12,570,76
740,"RHONDA",197,12,570,76
740,"RHONDA",199,12,570,76
750,"ROBERT",192,14,500,60
750,"ROBERT",175,14,500,60
750,"ROBERT",176,14,500,60
750,"ROBERT",189,14,500,60
750,"ROBERT",192,14,510,97
750,"ROBERT",175,14,510,97
750,"ROBERT",176,14,510,97
750,"ROBERT",189,14,510,97
750,"ROBERT",192,14,520,78
750,"ROBERT",175,14,520,78
750,"ROBERT",176,14,520,78
750,"ROBERT",189,14,520,78
750,"ROBERT",192,14,520,85
750,"ROBERT",175,14,520,85
750,"ROBERT",176,14,520,85
750,"ROBERT",189,14,520,85
760,"JEANNE",188,15,540,65
760,"JEANNE",187,15,540,65
760,"JEANNE",190,15,540,65
760,"JEANNE",192,15,540,65
760,"JEANNE",188,15,530,60
760,"JEANNE",187,15,530,60
760,"JEANNE",190,15,530,60
760,"JEANNE",192,15,530,60
760,"JEANNE",188,15,540,79
760,"JEANNE",187,15,540,79
760,"JEANNE",190,15,540,79
760,"JEANNE",192,15,540,79
760,"JEANNE",188,15,510,70
760,"JEANNE",187,15,510,70
760,"JEANNE",190,15,510,70
760,"JEANNE",192,15,510,70
770,"MILLS",188,13,560,91
770,"MILLS",187,13,560,91
770,"MILLS",188,13,550,99
770,"MILLS",187,13,550,99
710,"NINA",176,20,500,91
710,"NINA",175,20,500,91
710,"NINA",176,20,510,77
710,"NINA",175,20,510,77
780,"NATHAN",192,10,520,56
780,"NATHAN",193,10,520,56
780,"NATHAN",194,10,520,56
780,"NATHAN",192,10,530,61
780,"NATHAN",193,10,530,61
780,"NATHAN",194,10,530,61
780,"NATHAN",192,10,530,65
780,"NATHAN",193,10,530,65
780,"NATHAN",194,10,530,65
730,"NOAH",199,11,540,87
730,"NOAH",198,11,540,87
730,"NOAH",199,11,530,85
730,"NOAH",198,11,530,85
